spotifyID,song_name,Wonder,Transcendence,Tenderness,Nostalgia,Peacefulness,Power,Joy,Tension,Sadness
0oz9ITtPIt3iI1nzdVX9L2,0oz9ITtPIt3iI1nzdVX9L2,0.13199150562286377,0.12020532786846161,0.12419363856315613,0.08806191384792328,0.07010281085968018,0.15171264111995697,0.05906018242239952,0.1510133147239685,0.10365867614746094
3jqcJNacs1yDhtMk0wckxv,3jqcJNacs1yDhtMk0wckxv,0.09496552497148514,0.14569582045078278,0.07466303557157516,0.15236696600914001,0.10240201652050018,0.16209205985069275,0.06256195902824402,0.09266569465398788,0.11258699744939804
3jqcJNacs1yDhtMk0wckxv,3jqcJNacs1yDhtMk0wckxv,0.09496552497148514,0.14569582045078278,0.07466303557157516,0.15236696600914001,0.10240201652050018,0.16209205985069275,0.06256195902824402,0.09266569465398788,0.11258699744939804
3dD96v5k5BTChh0f1I1ibM,3dD96v5k5BTChh0f1I1ibM,0.3969952464103699,0.04398109018802643,0.003789816750213504,0.0638665109872818,0.007719012908637524,0.01242971420288086,0.19942353665828705,0.26945778727531433,0.0023372690193355083
3hWohoIZw0vYNaOniLMTRH,3hWohoIZw0vYNaOniLMTRH,0.18359363079071045,0.11151141673326492,0.11121243983507156,0.09513051062822342,0.1039334386587143,0.13206079602241516,0.05072278901934624,0.1169322058558464,0.09490278363227844
7K8NRwkKDP4cDeLyCKOcdL,7K8NRwkKDP4cDeLyCKOcdL,0.13379386067390442,0.08607720583677292,0.1469968855381012,0.036831606179475784,0.0845295712351799,0.16911612451076508,0.10967500507831573,0.09000127762556076,0.1429785043001175
6GZDBmjA9cgn0M0z4TlyCE,6GZDBmjA9cgn0M0z4TlyCE,0.07856442779302597,0.17667190730571747,0.05950561538338661,0.10177634656429291,0.051686763763427734,0.24788396060466766,0.0415164977312088,0.17044667899608612,0.0719478502869606
2HwjsEb0xaxURY5gN8X6q5,2HwjsEb0xaxURY5gN8X6q5,0.17375046014785767,0.1598561406135559,0.08144281804561615,0.07747123390436172,0.13086336851119995,0.06520497798919678,0.024291841313242912,0.07655791938304901,0.21056123077869415
0yQPpUq5BJyqah5m2Q5Stt,0yQPpUq5BJyqah5m2Q5Stt,0.13220643997192383,0.08635888248682022,0.04606640338897705,0.24641962349414825,0.060850925743579865,0.11353158205747604,0.16094709932804108,0.1004180982708931,0.05320084095001221
07eGxuz8bL6QMsRqEe1Adu,07eGxuz8bL6QMsRqEe1Adu,0.10502546280622482,0.1003839448094368,0.09644998610019684,0.07065849006175995,0.1629464030265808,0.16865487396717072,0.049711935222148895,0.10606563091278076,0.14010341465473175
4sYn64V9gqP6bpkOGw5B9k,4sYn64V9gqP6bpkOGw5B9k,0.06550705432891846,0.06128618121147156,0.09590211510658264,0.14336812496185303,0.18888702988624573,0.10893391817808151,0.15219669044017792,0.10081985592842102,0.08309909701347351
1gb8M0X11FXQiOX5zmNoTH,1gb8M0X11FXQiOX5zmNoTH,0.0911315530538559,0.09417423605918884,0.023329496383666992,0.20854204893112183,0.0884501114487648,0.19472263753414154,0.03410498797893524,0.22156326472759247,0.04398166760802269
4KTtYhxFtFL7mBwnjkKfLm,4KTtYhxFtFL7mBwnjkKfLm,0.0790584534406662,0.13632269203662872,0.07298079878091812,0.1451435685157776,0.06412581354379654,0.1313692033290863,0.09650874882936478,0.23536129295825958,0.039129480719566345
7xcWKzy4Omd4jKvxj7Ws7L,7xcWKzy4Omd4jKvxj7Ws7L,0.1938491016626358,0.05440978333353996,0.19512493908405304,0.06026514992117882,0.10249470919370651,0.09589531272649765,0.030254818499088287,0.09372538328170776,0.17398081719875336
20ISe2Xi5Dm8qPmQ6AQ2LM,20ISe2Xi5Dm8qPmQ6AQ2LM,0.04769940674304962,0.0513472817838192,0.02441837638616562,0.21051758527755737,0.06559749692678452,0.048694904893636703,0.02597344107925892,0.5044520497322083,0.021299339830875397
74a9k6xcmGHQiElnnMZEOg,74a9k6xcmGHQiElnnMZEOg,0.08864391595125198,0.07381387054920197,0.03585971146821976,0.1062043085694313,0.07202878594398499,0.2377213090658188,0.029738549143075943,0.2898438572883606,0.06614572554826736
