gems9_emotion,song_name,artist,spotify_id,spotify_uri
Tenderness,Skinny Love,Birdy,4RL77hMWUq35NYnPLXBpih,spotify:track:4RL77hMWUq35NYnPLXBpih
Tenderness,Helium (feat. X Ambassadors),"G-Eazy, X Ambassadors",2ej8Av0xMTBQwNIt0QeLbS,spotify:track:2ej8Av0xMTBQwNIt0QeLbS
Nostalgia,Nostalgia,Melosense,0Vtwa1eRykSFTGXbDBq7d2,spotify:track:0Vtwa1eRykSFTGXbDBq7d2
Nostalgia,I Still Have Faith In You,ABBA,3ddxe0WYUpNPtSnHgQOad5,spotify:track:3ddxe0WYUpNPtSnHgQOad5
Nostalgia,Bittersweet Symphony,Braden Montoney,0txeneIMvE9MW2KdFIyNMk,spotify:track:0txeneIMvE9MW2KdFIyNMk
Nostalgia,Childhood Memories,"mell-ø, Ambulo",44hY7Urzo7vsWN98RlIAQo,spotify:track:44hY7Urzo7vsWN98RlIAQo
Nostalgia,Memories from Childhood,Universe Mind,7ItbzgvdQGfmAuwgZwTu8Y,spotify:track:7ItbzgvdQGfmAuwgZwTu8Y
Nostalgia,All Life Long,Juice WRLD,22mBah1Qkoq4JoELeWtxRa,spotify:track:22mBah1Qkoq4JoELeWtxRa
Nostalgia,The Sound of Silence,Simon & Garfunkel,3YfS47QufnLDFA71FUsgCM,spotify:track:3YfS47QufnLDFA71FUsgCM
Nostalgia,The Sound of Silence - Acoustic Version,Simon & Garfunkel,5y788ya4NvwhBznoDIcXwK,spotify:track:5y788ya4NvwhBznoDIcXwK
Nostalgia,Carry On,fun.,7gpy7sfWPNuOKmUNs3XQYE,spotify:track:7gpy7sfWPNuOKmUNs3XQYE
Nostalgia,Landslide,Fleetwood Mac,5ihS6UUlyQAfmp48eSkxuQ,spotify:track:5ihS6UUlyQAfmp48eSkxuQ
Nostalgia,Landslide - 2018 Remaster,Fleetwood Mac,5WLyTdKPldPGy25lTpmURT,spotify:track:5WLyTdKPldPGy25lTpmURT
Nostalgia,Good Die Young,"M-Hunt, Shoe Gang",3OL989k5sZhgYpmTODBTN0,spotify:track:3OL989k5sZhgYpmTODBTN0
Peacefulness,Reckless Love (Peaceful Piano Instrumental),Grace Keys,3ShXFFWziREy6dab4mfHZV,spotify:track:3ShXFFWziREy6dab4mfHZV
Peacefulness,God's Plan,Drake,6DCZcSspjsKoFjzjrWoCdn,spotify:track:6DCZcSspjsKoFjzjrWoCdn
Peacefulness,Peaceful Rest,Calmly,5s8iK4yaAWctDqv5KEjXpj,spotify:track:5s8iK4yaAWctDqv5KEjXpj
Peacefulness,Serene Garden,Meditation and Sounds,0CVjLzGpvCSrzw1UljQILr,spotify:track:0CVjLzGpvCSrzw1UljQILr
Peacefulness,Bad Man,Beep Boop,5oZJAjikPKx7qnhhDuF4Yy,spotify:track:5oZJAjikPKx7qnhhDuF4Yy
Peacefulness,Serene Avian Shower,"Ten8, Bahrambient",6MYmB6l4sPjd6IujRIzq6H,spotify:track:6MYmB6l4sPjd6IujRIzq6H
Peacefulness,Clair de Lune,Johann Debussy,6Er8Fz6fuZNi5cvwQjv1ya,spotify:track:6Er8Fz6fuZNi5cvwQjv1ya
Peacefulness,"Clair de Lune, L. 32","Claude Debussy, Martin Jones",5u5aVJKjSMJr4zesMPz7bL,spotify:track:5u5aVJKjSMJr4zesMPz7bL
