spotifyID,song_name,Wonder,Transcendence,Tenderness,Nostalgia,Peacefulness,Power,Joy,Tension,Sadness
4DX82Vc8qAH4jJPvKxvwg6,Junior Senior - Move Your Feet,0.11383186280727386,0.09511272609233856,0.030512455850839615,0.052367743104696274,0.00692865950986743,0.08609422296285629,0.24115779995918274,0.37100034952163696,0.0029941860120743513
75qbtJ1b1xm59POD1aDS7A,Sébastien El Chato - Je sais,0.00160815822891891,0.00013322777522262186,0.0005886547151021659,4.800127862836234e-05,0.0002557613479439169,0.0022602968383580446,0.008654506877064705,0.9843370318412781,0.002114278730005026
19K3lUMJmOdeuOBTrbLm19,MGMT - Weekend Wars,0.09560462087392807,0.04699322581291199,0.06768103688955307,0.0842713788151741,0.011292188428342342,0.38066983222961426,0.19994933903217316,0.0923927053809166,0.021145736798644066
6HTJgY7iWWlVLSDHsfHePf,Ninho - Jefe,0.20211899280548096,0.006815840024501085,0.0023020473308861256,0.012667807750403881,0.008985497057437897,0.029827682301402092,0.35273149609565735,0.3680518567562103,0.016498737037181854
2XqW4lc8eFrUqPlPOH6gmI,Keen' V - Affaire classée,0.13951647281646729,0.00016848731320351362,9.213313751388341e-05,0.001003873534500599,0.0010038383770734072,0.001145955640822649,0.3135858476161957,0.5431190133094788,0.0003643140662461519
761WKLuuoZgWTjYsM31ljA,Shaka Ponk - Body Cult,0.03074157051742077,0.019536130130290985,0.027555912733078003,0.03879179060459137,0.008723926730453968,0.10651616752147675,0.6848984360694885,0.07774253934621811,0.0054935249499976635
5kLRBwykoqtVob6pJ9b75h,Dany Brillant - Bambino - Reggaeton,0.019314656034111977,0.014922195114195347,0.036179568618535995,0.0016866587102413177,0.018132438883185387,0.2804020941257477,0.5568920969963074,0.051333364099264145,0.02113681472837925
1FdU4oF88UOJwA9GYgognx,Deftones - Diamond Eyes,0.05706937983632088,0.019396230578422546,0.018335018306970596,0.05771910399198532,0.038461532443761826,0.09513989090919495,0.486944317817688,0.1630081832408905,0.06392640620470047
6b8Be6ljOzmkOmFslEb23P,Bruno Mars - 24K Magic,0.029950911179184914,0.0033598027657717466,0.001444028690457344,0.006993977352976799,0.005671768914908171,0.007139076944440603,0.1350153386592865,0.794734537601471,0.015690485015511513
3oBzgOBdpq4fhcHU4wnx8W,Shanna Kress - Étoile noire,0.379454106092453,0.013066347688436508,0.019919978454709053,0.02591252513229847,0.04417355731129646,0.05674741789698601,0.22108446061611176,0.18225830793380737,0.05738334357738495
