spotifyid,mp3,spec_npy,n_mels,n_frames
62yH0ofV5045MVZS8iBV2K,"DataSets\audio\Edward Elgar - Scenes from the Bavarian Highlands, Op. 27_ No. 1. The Dance.mp3","DataSets\img\Edward Elgar - Scenes from the Bavarian Highlands, Op. 27_ No. 1. The Dance.npy",128,150718
6fOL6xjXCP8HN1WKZjdEVk,DataSets\audio\Kate Whitley - Theories of Quantum Mechanics_ II. Loop Quantum Gravity.mp3,DataSets\img\Kate Whitley - Theories of Quantum Mechanics_ II. Loop Quantum Gravity.npy,128,4469
3aYBoCig7uTHMYxyGr3wAy,DataSets\audio\Bob Chilcott - You and Me_ I. Brightness.mp3,DataSets\img\Bob Chilcott - You and Me_ I. Brightness.npy,128,12964
11uWBIkJDSGhP1vB7zWryz,"DataSets\audio\Johannes Brahms - 12 Lieder und Romanzen, Op. 44_ No. 9, Am Wildbach die Weiden.mp3","DataSets\img\Johannes Brahms - 12 Lieder und Romanzen, Op. 44_ No. 9, Am Wildbach die Weiden.npy",128,4414
16ZdfGO9J16VA6AB7WOPIh,"DataSets\audio\Johannes Brahms - 13 Canons, Op. 113_ No. 3, Sitzt a schons Vogerl aufm Dannabaum.mp3","DataSets\img\Johannes Brahms - 13 Canons, Op. 113_ No. 3, Sitzt a schons Vogerl aufm Dannabaum.npy",128,3100
65mzay1qpkonZeZ5vg3CNm,DataSets\audio\Paul Hindemith - Lieder nach alten Texten op. 33 VI. Landknechtstrinklied.mp3,DataSets\img\Paul Hindemith - Lieder nach alten Texten op. 33 VI. Landknechtstrinklied.npy,128,6943
6x8rdXb1gxj7fNjHtHW2GP,"DataSets\audio\Robert Schumann - Ritornelle in canonischen Weisen, Op. 65_ No. 2, Lasst Lautenspiel und Becherklang.mp3","DataSets\img\Robert Schumann - Ritornelle in canonischen Weisen, Op. 65_ No. 2, Lasst Lautenspiel und Becherklang.npy",128,8748
2x1UV95kQQ4uPu1j5E79c1,"DataSets\audio\Johannes Brahms - Seven Songs, Op. 62_ VII. Vergangen ist mir Glück und Heil.mp3","DataSets\img\Johannes Brahms - Seven Songs, Op. 62_ VII. Vergangen ist mir Glück und Heil.npy",128,11083
31kHSVt0VGt38rg0903Dgj,"DataSets\audio\Johannes Brahms - 12 Deutsche Volkslieder, WoO 35_ No. 12, Altdeutsches Kampflied.mp3","DataSets\img\Johannes Brahms - 12 Deutsche Volkslieder, WoO 35_ No. 12, Altdeutsches Kampflied.npy",128,29565
4vJxWO3XpcE9agrMwJ30rF,"DataSets\audio\Johannes Brahms - Fest-und Gedenksprüche, Op. 109_ II. Wenn ein starker Gewappneter.mp3","DataSets\img\Johannes Brahms - Fest-und Gedenksprüche, Op. 109_ II. Wenn ein starker Gewappneter.npy",128,34196
15MWl1GYa2yIQXfYZQldwH,"DataSets\audio\Johannes Brahms - Fest-und Gedenksprüche, Op. 109_ III. Wo ist ein so herrlich Volk.mp3","DataSets\img\Johannes Brahms - Fest-und Gedenksprüche, Op. 109_ III. Wo ist ein so herrlich Volk.npy",128,25004
7Dw8gdCKqFs0TRqQ2oEOjc,"DataSets\audio\Johannes Brahms - 7 Lieder, Op. 62_ No. 6, Es geht ein Wehen.mp3","DataSets\img\Johannes Brahms - 7 Lieder, Op. 62_ No. 6, Es geht ein Wehen.npy",128,137210
0jicUl62JnKRdcDFK3zgdE,DataSets\audio\Paul Hindemith - Eine lichte Mitternacht.mp3,DataSets\img\Paul Hindemith - Eine lichte Mitternacht.npy,128,19100
7wL0Ik6NgyKop2Nq0p3IPB,"DataSets\audio\Robert Schumann - Romanzen und Balladen, Book 2, Op. 75_ Schnitter Tod.mp3","DataSets\img\Robert Schumann - Romanzen und Balladen, Book 2, Op. 75_ Schnitter Tod.npy",128,17608
2weOn3S9Ngnqz12J4LJ3xI,,,,
77uJ4jU8UDiHXUaA5H9xWj,,,,
7HoKAXINCEnv8lnqMA1HKx,"DataSets\audio\Johannes Brahms - 12 Deutsche Volkslieder, WoO 35_ No. 3, Erlaube mir.mp3","DataSets\img\Johannes Brahms - 12 Deutsche Volkslieder, WoO 35_ No. 3, Erlaube mir.npy",128,10132
4KuV3snd78C4143lQzbOJm,DataSets\audio\Karlheinz Stockhausen - Stimmung_ Model 24.mp3,DataSets\img\Karlheinz Stockhausen - Stimmung_ Model 24.npy,128,49352
6tUDAhxHNwTdr2k2mQ1u8J,"DataSets\audio\Johannes Brahms - Warum ist das Licht gegeben den Mühseligen, Op. 74 No. 1_ IV. Mit Fried und Freud.mp3","DataSets\img\Johannes Brahms - Warum ist das Licht gegeben den Mühseligen, Op. 74 No. 1_ IV. Mit Fried und Freud.npy",128,64046
7sPmR3SWTfhCX4qJ7HaqnP,DataSets\audio\Mory Kanté - Diananko.mp3,DataSets\img\Mory Kanté - Diananko.npy,128,32676
0SPRweywD03wII0wKrbM4H,DataSets\audio\Mory Kanté - Kounmakan.mp3,DataSets\img\Mory Kanté - Kounmakan.npy,128,28279
4IVHKHMht44oK1eUdmDMPu,DataSets\audio\Kassé-Mady Diabaté - Maliba.mp3,DataSets\img\Kassé-Mady Diabaté - Maliba.npy,128,18565
1TwvdP2fQKOJr6fejMdu8T,DataSets\audio\King Kora - Nialing Koli.mp3,DataSets\img\King Kora - Nialing Koli.npy,128,33185
2ZXvgMJEQvayhSEgeZd7ss,DataSets\audio\Harouna Samake - Lanaya Fouru.mp3,DataSets\img\Harouna Samake - Lanaya Fouru.npy,128,29732
5B9z8tzuRDusKjctuOGZ71,DataSets\audio\Sory Diabate - Dimboré.mp3,DataSets\img\Sory Diabate - Dimboré.npy,128,31127
5djsiqc8TERPfHy6wt853D,,,,
13G8hYGWfdoJWsauBG9z6l,DataSets\audio\Samba Touré - Goye.mp3,DataSets\img\Samba Touré - Goye.npy,128,33543
05lArncCXvMB7f95cDRVTi,DataSets\audio\Fatou Guewel - Mooda.mp3,DataSets\img\Fatou Guewel - Mooda.npy,128,32271
7h9VcY0dnEhFeZjvPXmG4y,DataSets\audio\Kiné Lam - Souma Sagnone.mp3,DataSets\img\Kiné Lam - Souma Sagnone.npy,128,28238
0rWM5wpSlXxVufYX6gmgsJ,DataSets\audio\Oumou Dioubate - Akafo.mp3,DataSets\img\Oumou Dioubate - Akafo.npy,128,29199
6exS6oFxPzvlu9TdC1AipK,DataSets\audio\Kandia Kouyate - Kassi Doundo.mp3,DataSets\img\Kandia Kouyate - Kassi Doundo.npy,128,30748
1yYVh9P32dkDowxATzuwpM,DataSets\audio\Ali Farka Touré - Allah Uya.mp3,DataSets\img\Ali Farka Touré - Allah Uya.npy,128,27352
313OGD3ZgcMNSW78MIgLU2,DataSets\audio\Bassekou Kouyate - Ayé Sira Bla.mp3,DataSets\img\Bassekou Kouyate - Ayé Sira Bla.npy,128,31944
2soB0LBJUMAn4u7mtLstAp,DataSets\audio\Mamy Kanoute - Khontéla.mp3,DataSets\img\Mamy Kanoute - Khontéla.npy,128,22647
2TdpGmTV28dk9XPJhHq1h1,DataSets\audio\Oumou Sangaré - Yere faga.mp3,DataSets\img\Oumou Sangaré - Yere faga.npy,128,24513
3kferTMZPaSIU2dMD8iC9h,DataSets\audio\Baaba Maal - Fulani Rock - Henrik Schwarz Remix.mp3,DataSets\img\Baaba Maal - Fulani Rock - Henrik Schwarz Remix.npy,128,51599
652pCTWaUT7h0VSZTVRR8D,DataSets\audio\Kandia Kouyate - Bouka.mp3,DataSets\img\Kandia Kouyate - Bouka.npy,128,63649
5Jj4dLJSNjJ6u34N0PLmat,DataSets\audio\Nahawa Doumbia - Djina Mousso - Tom Jay Edit.mp3,DataSets\img\Nahawa Doumbia - Djina Mousso - Tom Jay Edit.npy,128,37138
0BjX2M40sE835swK7I6DpX,DataSets\audio\Seckou Keita - Rewmi.mp3,DataSets\img\Seckou Keita - Rewmi.npy,128,28441
7xVufW28g4qYZ5Yjx8ogVv,DataSets\audio\Dawda Jobarteh - Kanoo.mp3,DataSets\img\Dawda Jobarteh - Kanoo.npy,128,4889
6NzhUKCZNIOTCY5maTeHVk,DataSets\audio\Bassekou Kouyate - Lament for Ali Farka.mp3,DataSets\img\Bassekou Kouyate - Lament for Ali Farka.npy,128,41053
5EY7EpFvKOQLViJqrSZ4uo,DataSets\audio\Kandia Kouyate - Dakolo.mp3,DataSets\img\Kandia Kouyate - Dakolo.npy,128,27501
3fHV9JUITZcOUvmoVzr3gK,DataSets\audio\Ali Farka Touré - Hawa Dolo.mp3,DataSets\img\Ali Farka Touré - Hawa Dolo.npy,128,30317
5ZPiSiA9nVszZ09ooK2Ko1,DataSets\audio\Ali Farka Touré - Petenere.mp3,DataSets\img\Ali Farka Touré - Petenere.npy,128,29424
08X2xorkalkZHa59GMNDaa,DataSets\audio\Tata Dindin Jobarteh - Tunga Tè.mp3,DataSets\img\Tata Dindin Jobarteh - Tunga Tè.npy,128,36905
6IiieQBuw5SdTITGPNT974,DataSets\audio\Kandia Kouyate - Tiè Faring.mp3,DataSets\img\Kandia Kouyate - Tiè Faring.npy,128,45050
3TqAlRJ0smaIdESwakd4wc,DataSets\audio\Lansine Diabate - Simbon.mp3,DataSets\img\Lansine Diabate - Simbon.npy,128,24160
5rk0DptecCJPcFdJYJrhok,DataSets\audio\Kady Diarra - Baobab.mp3,DataSets\img\Kady Diarra - Baobab.npy,128,47150
3Os0sJPFx0SaPxKIUMlqmY,DataSets\audio\Ali Farka Touré - Saukare.mp3,DataSets\img\Ali Farka Touré - Saukare.npy,128,17350
5sjMWzhRS0mTFisWNUx337,DataSets\audio\Baba Sissoko - Mbife.mp3,DataSets\img\Baba Sissoko - Mbife.npy,128,27300
758lZ3ZbLkkGFwxTNGKB9I,DataSets\audio\King Kora - Mamadu Bitike.mp3,DataSets\img\King Kora - Mamadu Bitike.npy,128,33201
1uz8Y3UavuSY4AEkF7xF0k,DataSets\audio\Bako Dagnon - Fadeen Tô.mp3,DataSets\img\Bako Dagnon - Fadeen Tô.npy,128,38049
3JIKbZm4XjwM2BcuK5pSHw,DataSets\audio\Ali Farka Touré - Sabu Yerkoy.mp3,DataSets\img\Ali Farka Touré - Sabu Yerkoy.npy,128,25124
2xNeCP7pH82E2Li2gXo4VV,DataSets\audio\Kassé-Mady Diabaté - Barana.mp3,DataSets\img\Kassé-Mady Diabaté - Barana.npy,128,39799
1lWQ9XVCYdWk62etZzbcIs,DataSets\audio\Kiné Lam - Diouma Diakhate.mp3,DataSets\img\Kiné Lam - Diouma Diakhate.npy,128,34100
1hDbeAdNYLVO5ua3Nc1TbJ,DataSets\audio\Makan Tounkara - N'ganou.mp3,DataSets\img\Makan Tounkara - N'ganou.npy,128,29604
29qoNt4XbpreA02AImuooi,DataSets\audio\Baba Sissoko - Mali foli.mp3,DataSets\img\Baba Sissoko - Mali foli.npy,128,33303
4P6OAIjrIYtOn0HMnj3tDG,DataSets\audio\Mah Damba - Dambé.mp3,DataSets\img\Mah Damba - Dambé.npy,128,27720
5jwU4TRUicTo65kUMvGzvR,DataSets\audio\Kassé-Mady Diabaté - Jon Kunandi.mp3,DataSets\img\Kassé-Mady Diabaté - Jon Kunandi.npy,128,29309
4dp20IS5snodx3wJ69I0gH,DataSets\audio\Mandingo Griot Society - Chedo.mp3,DataSets\img\Mandingo Griot Society - Chedo.npy,128,7123
4hootFREytQ1Kcv2Dvv3cw,DataSets\audio\Ballaké Sissoko - Da monson.mp3,DataSets\img\Ballaké Sissoko - Da monson.npy,128,28110
4eed6wmp3lxsJ9ydNYTSad,DataSets\audio\Diéfadima Kanté - Dudyaya.mp3,DataSets\img\Diéfadima Kanté - Dudyaya.npy,128,35952
6qnnmG1W4Vz3hbl6dEHzwn,DataSets\audio\Lamine Konte - Dunya.mp3,DataSets\img\Lamine Konte - Dunya.npy,128,14824
5jt6lCZxxbmPkLxo1Fk00v,DataSets\audio\Ali Farka Touré - Bakoytereye.mp3,DataSets\img\Ali Farka Touré - Bakoytereye.npy,128,30500
4h0xHAXxCuPHkEQTrc27X2,DataSets\audio\Tata Bambo Kouyaté - Mah Drame.mp3,DataSets\img\Tata Bambo Kouyaté - Mah Drame.npy,128,43449
6luGztVGxfGDfaqpONWUAS,DataSets\audio\Boubacar Traoré - Duna ma yelema.mp3,DataSets\img\Boubacar Traoré - Duna ma yelema.npy,128,32396
2BrC1XXAtFOthCgMx2ug1X,DataSets\audio\Kassé-Mady Diabaté - Koulandjan.mp3,DataSets\img\Kassé-Mady Diabaté - Koulandjan.npy,128,81298
1OPOUdIqkgwJZWfXkpeuwr,DataSets\audio\Monica da Silva - Aí Então.mp3,DataSets\img\Monica da Silva - Aí Então.npy,128,18272
3KCpRcVd0pdzjAUzaTcKDG,DataSets\audio\Chico César - Papo Cabeça.mp3,DataSets\img\Chico César - Papo Cabeça.npy,128,26958
3kB99GcFnk0XalCBZ4Jf7Z,DataSets\audio\Fernanda Abreu - Eu Quero Sol.mp3,DataSets\img\Fernanda Abreu - Eu Quero Sol.npy,128,14696
1OPOUdIqkgwJZWfXkpeuwr,DataSets\audio\Monica da Silva - Aí Então.mp3,DataSets\img\Monica da Silva - Aí Então.npy,128,18272
33b3gHwhE1shXvC7vMRGmw,DataSets\audio\Elton Saldanha - Amigo.mp3,DataSets\img\Elton Saldanha - Amigo.npy,128,20573
0x4ckbw7JvhzQhWhwoUUCZ,DataSets\audio\Conjunto Nosso Samba - É Hoje.mp3,DataSets\img\Conjunto Nosso Samba - É Hoje.npy,128,18196
6tj8vIFnmIU8eZwB4Yeee3,DataSets\audio\Conjunto Nosso Samba - Argumento.mp3,DataSets\img\Conjunto Nosso Samba - Argumento.npy,128,18141
6YH84kJLy8MjklkPou2cO5,DataSets\audio\Coroné Pereira (Toinho da Serrinha) - E proibido cochilar.mp3,DataSets\img\Coroné Pereira (Toinho da Serrinha) - E proibido cochilar.npy,128,17196
5Pq2kwL69NeYg9HfCh2qCt,"DataSets\audio\Do Cais, - Deixa a Vida Me Levar.mp3","DataSets\img\Do Cais, - Deixa a Vida Me Levar.npy",128,12243
11jFIHTk7MTTqy5GbtgIaV,"DataSets\audio\As Gatas - ¿Brasil não seremos jamais, ou seremos_.mp3","DataSets\img\As Gatas - ¿Brasil não seremos jamais, ou seremos_.npy",128,23050
5grVq0bcVjolawTayNrXuR,DataSets\audio\Conjunto Nosso Samba - Acreditar.mp3,DataSets\img\Conjunto Nosso Samba - Acreditar.npy,128,16780
0bSQYPv5vbbo5oH9aqapNu,DataSets\audio\Daniel Lomba - Capoeira mata um.mp3,DataSets\img\Daniel Lomba - Capoeira mata um.npy,128,17321
6ElvPsE6B0s4opKwqxNXF4,"DataSets\audio\Tamy - Samba na Mão, Eu Tenho.mp3","DataSets\img\Tamy - Samba na Mão, Eu Tenho.npy",128,15511
5YIH3LZZekwwObHNKiIsGc,DataSets\audio\Mariza - Fado Errado (feat. Maria Da Fé).mp3,DataSets\img\Mariza - Fado Errado (feat. Maria Da Fé).npy,128,20547
3zrxbLq9mUm8TmLO4CNXnX,DataSets\audio\Vagner Maugeri - A Taca Do Mundo e Nossa.mp3,DataSets\img\Vagner Maugeri - A Taca Do Mundo e Nossa.npy,128,15385
04iFNUN7gLqoICY9WGHxM1,DataSets\audio\Marcos Valle - Partido Alto.mp3,DataSets\img\Marcos Valle - Partido Alto.npy,128,28387
3nXnsZcnFqVFIuUIJaq0ga,DataSets\audio\Carlinhos Brown - Lagoinha.mp3,DataSets\img\Carlinhos Brown - Lagoinha.npy,128,24983
0pQPmDWGZNUcm7YInajvAh,DataSets\audio\Electro Coco - Coco do Mundo.mp3,DataSets\img\Electro Coco - Coco do Mundo.npy,128,20592
3pNJLq5fdgaRWCrdCyazT4,DataSets\audio\Zuco 103 - Outro Lado.mp3,DataSets\img\Zuco 103 - Outro Lado.npy,128,27159
10GswzjpD8kZIwFYws3fzI,DataSets\audio\Maria Joana - Princesinha Da Mare.mp3,DataSets\img\Maria Joana - Princesinha Da Mare.npy,128,16968
3mpatgs2GhrakuIIMmz3bQ,DataSets\audio\Carminho - Saia rodada.mp3,DataSets\img\Carminho - Saia rodada.npy,128,21462
47mwte56hOwGsvTggsWqmP,DataSets\audio\Denis Porto - Deus Sem Você.mp3,DataSets\img\Denis Porto - Deus Sem Você.npy,128,21279
3b7Ux4bJbeFLqSOZOZpt0A,DataSets\audio\Denis Porto - Pomba voou.mp3,DataSets\img\Denis Porto - Pomba voou.npy,128,21893
5i2T1E1lbD8gYgIkOmSEuY,DataSets\audio\Marcello Ferreira - Anel de Saturno.mp3,DataSets\img\Marcello Ferreira - Anel de Saturno.npy,128,22423
7zmsA9ANwgRyzquJKOCyly,DataSets\audio\Jaciara (Dida Banda Feminina) - Filhos Do Tempo.mp3,DataSets\img\Jaciara (Dida Banda Feminina) - Filhos Do Tempo.npy,128,33251
1n441XV55b21VveSUSA1SA,DataSets\audio\Jussara Silveira - Lá Vem a Baiana.mp3,DataSets\img\Jussara Silveira - Lá Vem a Baiana.npy,128,24157
0Fd5qH2K7UsQh4MU3MB17m,DataSets\audio\Gal Costa - Aquele Frevo Axé.mp3,DataSets\img\Gal Costa - Aquele Frevo Axé.npy,128,23052
0w7F4Q5zDFGGScrrGPYQzq,DataSets\audio\Luca Mundaca - Ha dias.mp3,DataSets\img\Luca Mundaca - Ha dias.npy,128,23716
2jCvqqyyAAcB4criwqQOtX,DataSets\audio\Luca Mundaca - Nao se apavore.mp3,DataSets\img\Luca Mundaca - Nao se apavore.npy,128,27634
1n441XV55b21VveSUSA1SA,DataSets\audio\Jussara Silveira - Lá Vem a Baiana.mp3,DataSets\img\Jussara Silveira - Lá Vem a Baiana.npy,128,24157
2yUtPf8Zf1FpG9m3FTiZAa,DataSets\audio\Galo Gordo - O Natal Já Começou.mp3,DataSets\img\Galo Gordo - O Natal Já Começou.npy,128,19137
2S6FyNne8WE8ePfpKgX8IM,DataSets\audio\Eliete Negreiros - Meu Mundo É Hoje.mp3,DataSets\img\Eliete Negreiros - Meu Mundo É Hoje.npy,128,17235
7umnp2OFFirj13AEMubBwO,DataSets\audio\Teresa Cristina - Meu Mundo É Hoje (Eu Sou Assim).mp3,DataSets\img\Teresa Cristina - Meu Mundo É Hoje (Eu Sou Assim).npy,128,18745
3tYj8cE1pm2qnkASMSV6sm,DataSets\audio\Paulinho Da Viola - A Voz Do Povo.mp3,DataSets\img\Paulinho Da Viola - A Voz Do Povo.npy,128,18107
7rIxY4Z9EkztUGsHt30KTs,DataSets\audio\De Aquino Luiz - Caminhos De Cuba.mp3,DataSets\img\De Aquino Luiz - Caminhos De Cuba.npy,128,19299
5hO3HgwIygwqjkGsw6wdP3,DataSets\audio\Mundo Livre S_A - Meu Esquema.mp3,DataSets\img\Mundo Livre S_A - Meu Esquema.npy,128,25947
5tupyoV6KPwBzLx7XuimRK,DataSets\audio\Carla Pires - Há Samba nas Colinas de Lisboa.mp3,DataSets\img\Carla Pires - Há Samba nas Colinas de Lisboa.npy,128,23948
4mtd0ysSMgb2k6Ht8FUEfX,DataSets\audio\Barbosa Lessa - No bom do chote.mp3,DataSets\img\Barbosa Lessa - No bom do chote.npy,128,13831
4goOSaHDYLMxpklZ4UIBf2,DataSets\audio\Fruko Y Sus Tesos - El Nuevo Caimán.mp3,DataSets\img\Fruko Y Sus Tesos - El Nuevo Caimán.npy,128,27890
6gREcNU5xgRRMMInq69JEL,DataSets\audio\Mariposa Solar - Bonita Mente-Bonita Suerte.mp3,DataSets\img\Mariposa Solar - Bonita Mente-Bonita Suerte.npy,128,21344
7ql1xbJRwO3dRw5tMVitrJ,DataSets\audio\Raúl Planas - Con la espuela.mp3,DataSets\img\Raúl Planas - Con la espuela.npy,128,20095
59XdJFeK9v4SEF01YshDdO,DataSets\audio\El Mondao - Ay Gitana.mp3,DataSets\img\El Mondao - Ay Gitana.npy,128,14576
0bk9UQHS4uqTRH8sq9c66r,DataSets\audio\Ukamau - Mañana me voy.mp3,DataSets\img\Ukamau - Mañana me voy.npy,128,18598
54PplfjgwltKQkWoyW2u9O,DataSets\audio\Traditional - Ojos de cielo.mp3,DataSets\img\Traditional - Ojos de cielo.npy,128,40053
7pMVdV8Q38X7Bn4uHteDV6,DataSets\audio\Juanjo Lopez Vidal - Tinta roja.mp3,DataSets\img\Juanjo Lopez Vidal - Tinta roja.npy,128,17755
4DUWzUSKl3WsnsjWRIVwuK,DataSets\audio\La Jose - Se Me Escapó La Risa.mp3,DataSets\img\La Jose - Se Me Escapó La Risa.npy,128,22167
4x2zdTQHBog8nSUMkQVtoq,"DataSets\audio\Traditional - Que Si Quieres, Moreno.mp3","DataSets\img\Traditional - Que Si Quieres, Moreno.npy",128,1499
5Qz4JKkxfMXQ8LlP7NaMns,DataSets\audio\Traditional - Bulería por Solea.mp3,DataSets\img\Traditional - Bulería por Solea.npy,128,44146
4h3IFxTzKNeuD40bqtjH7l,"DataSets\audio\Patricia Salas - Christianos, cantad conmigo (Argentina).mp3","DataSets\img\Patricia Salas - Christianos, cantad conmigo (Argentina).npy",128,17399
7rRgtZKPTcdbDYUFj5cZ8V,DataSets\audio\Ana Alcaide - El Puente de San Martín.mp3,DataSets\img\Ana Alcaide - El Puente de San Martín.npy,128,31498
3UjdZFsDzYXLmculUTln8o,DataSets\audio\Mariana Montalvo - La libélula.mp3,DataSets\img\Mariana Montalvo - La libélula.npy,128,26660
3GLSlNVBQFltlTE7rGKIPc,DataSets\audio\Ignacio Carrillo _Mazacote_ - Lágrimas Negras.mp3,DataSets\img\Ignacio Carrillo _Mazacote_ - Lágrimas Negras.npy,128,30531
4afeZ9svVAqlHT6VYt4T83,DataSets\audio\Los Rupay - Hoy dia manana.mp3,DataSets\img\Los Rupay - Hoy dia manana.npy,128,34181
1EjpWmaYLCMhSRtqftMQRq,DataSets\audio\La Jose - Nacerá.mp3,DataSets\img\La Jose - Nacerá.npy,128,35168
1XGeGlG2vjQtgPSNOTlTas,DataSets\audio\Mari Nieto - En la Mancha.mp3,DataSets\img\Mari Nieto - En la Mancha.npy,128,13570
6s558VuXmEeFXIG2L527ep,DataSets\audio\Anonymous - Súbele que súbele.mp3,DataSets\img\Anonymous - Súbele que súbele.npy,128,16315
4czvSiTLl5vOgHmHA1lida,DataSets\audio\La Jose - Paciencia.mp3,DataSets\img\La Jose - Paciencia.npy,128,160274
67svDyHuaWENLGwtcKUmNy,DataSets\audio\Hanne Tveter - Noche De Paz.mp3,DataSets\img\Hanne Tveter - Noche De Paz.npy,128,19197
1fdGnYSaqiKsfHyAeAEOWz,DataSets\audio\Savina Yannatou - El Sueño de la Hija del Rey.mp3,DataSets\img\Savina Yannatou - El Sueño de la Hija del Rey.npy,128,29303
5zTBUCUuIeOaUdHaEGkDTL,DataSets\audio\Buenos Aires Tango Trio - Cuesta abajo.mp3,DataSets\img\Buenos Aires Tango Trio - Cuesta abajo.npy,128,19685
1Tp8XjcZl62Pyybgm1Eq6l,DataSets\audio\Niyireth Alarcon - Guabinas_ Las chapoleras - Sufro queriendote.mp3,DataSets\img\Niyireth Alarcon - Guabinas_ Las chapoleras - Sufro queriendote.npy,128,25140
2hUGKfWp2XxZqNKrQYpQZ2,DataSets\audio\Manuel Lopez-Ruiz - Seguramente.mp3,DataSets\img\Manuel Lopez-Ruiz - Seguramente.npy,128,15788
50OBl3Z8SJUfYIgmNvpMPR,DataSets\audio\Hector Pavez - Morena ingrata.mp3,DataSets\img\Hector Pavez - Morena ingrata.npy,128,17956
0atZgCHkteao7V1bkn80LH,DataSets\audio\Traditional - Echa la Soga al Barco.mp3,DataSets\img\Traditional - Echa la Soga al Barco.npy,128,26237
6znU4uVOKgC1EzhusTEbrc,DataSets\audio\Hector Pavez - Salomas.mp3,DataSets\img\Hector Pavez - Salomas.npy,128,27180
4cYjzQZUX5gferbdOBzmz6,"DataSets\audio\Fernando Z. Maldonado - Volver, Volver - El Rey.mp3","DataSets\img\Fernando Z. Maldonado - Volver, Volver - El Rey.npy",128,17710
333tUNQ441MezoiBaB1Frt,,,,
6dJHoXkjNbHSJKZ2dLrBgW,DataSets\audio\Eladia Blázquez - Contame una Historia (Live).mp3,DataSets\img\Eladia Blázquez - Contame una Historia (Live).npy,128,19756
0Hd24ad9U8EktoHYEQAdG1,DataSets\audio\Fortuna - Mi Suegra.mp3,DataSets\img\Fortuna - Mi Suegra.npy,128,14999
4VvzZJHForqSUN7BRHcqFM,DataSets\audio\Dueto de Tinito y Porfirio - La Petrona.mp3,DataSets\img\Dueto de Tinito y Porfirio - La Petrona.npy,128,24377
3rKrypBgAbjWzSN9ajvyXE,DataSets\audio\Totó La Momposina - Yo Me Llamo Cumbia.mp3,DataSets\img\Totó La Momposina - Yo Me Llamo Cumbia.npy,128,26958
6z2PGu5QsAVYjB5fNXdRzt,DataSets\audio\Fortuna - Dame Tu Fuerza.mp3,DataSets\img\Fortuna - Dame Tu Fuerza.npy,128,12998
7j2sZarYV82rwC2qIf7XjQ,DataSets\audio\Traditional - La Niña de Sevilla.mp3,DataSets\img\Traditional - La Niña de Sevilla.npy,128,10790
1kIUlJdTXhh1YbrCYUpE3E,DataSets\audio\Andres Fernandez Amador - Yo sólo quiero caminar.mp3,DataSets\img\Andres Fernandez Amador - Yo sólo quiero caminar.npy,128,21373
7aj72frVkPlfEwj5Uppa8K,DataSets\audio\Alfredo Fernando - milonga de ojos dorados.mp3,DataSets\img\Alfredo Fernando - milonga de ojos dorados.npy,128,18141
3MjKCGmpHW7w6GoyCDPceE,,,,
6xKts3hmF9Dl0gy10SFzAu,DataSets\audio\Umm Kulthum - Ala Balad El Mahboob.mp3,DataSets\img\Umm Kulthum - Ala Balad El Mahboob.npy,128,42736
06ZEK0BzTb5i1hUAyWm8Ih,,,,
0VC8hwUZniePxwic1ew4he,,,,
2f1o50qMVyK9N2uqm4k2MQ,,,,
3BxVGsCpJGdecoS7DLAL7C,,,,
2pXuhRORtSU8iDD7P4MUvb,DataSets\audio\Hussein Ali-Hijazi - Ghazal.mp3,DataSets\img\Hussein Ali-Hijazi - Ghazal.npy,128,29716
3tKBNIFzpuCqGpAz5BQBpD,DataSets\audio\Yakya Faradj - Rahil.mp3,DataSets\img\Yakya Faradj - Rahil.npy,128,21634
5jUEFmi1JNuz4BUYfRRWyf,,,,
3ONNA9NZP1vDY6ldBhsOFO,DataSets\audio\Traditional - Yedid Nafshi (Yemen).mp3,DataSets\img\Traditional - Yedid Nafshi (Yemen).npy,128,37153
740lvg9PUjGa6CeS6Hv8Zn,DataSets\audio\The Sisters Chaaran - Ghina.mp3,DataSets\img\The Sisters Chaaran - Ghina.npy,128,67458
5LU2tZh6T3x61X9o6Q9TtL,,,,
7DvrUmhzdoc5HIxtfsKUX7,DataSets\audio\Mohammad al-Harithi - Li-llah mâ yahwî hadha-l-maqâm.mp3,DataSets\img\Mohammad al-Harithi - Li-llah mâ yahwî hadha-l-maqâm.npy,128,96924
5wNT4rI7NaOyqVl1rHGKDu,DataSets\audio\Bachar Mar-Khalifé - Wolf Pack.mp3,DataSets\img\Bachar Mar-Khalifé - Wolf Pack.npy,128,26490
04pgSH9zPo6yGvGR0XkUIT,DataSets\audio\Yasmine Hamdan - Café - Acid Arab Remix.mp3,DataSets\img\Yasmine Hamdan - Café - Acid Arab Remix.npy,128,34097
0Sx0InPyzbGqET8R04CXZk,DataSets\audio\Abaji - Beit el din.mp3,DataSets\img\Abaji - Beit el din.npy,128,29622
1pLcPVSCmxs7AKFs6agb8e,DataSets\audio\Abaji - Tlete.mp3,DataSets\img\Abaji - Tlete.npy,128,14719
6f8VnbFhjEjVM82cP8iPnq,DataSets\audio\Ibrahim Maalouf - Lily (Is 2).mp3,DataSets\img\Ibrahim Maalouf - Lily (Is 2).npy,128,12943
