spotifyid,mp3,spec_npy,n_mels,n_frames
5c3ziCfMcJxProIZ7yg7yq,DataSets\audio\Barbara Luna - Jinete de los Tiempos.mp3,DataSets\img\Barbara Luna - Jinete de los Tiempos.npy,128,23222
4tkj0pCl3SCr1FXYW44Z6g,,,,
4dioJLMxQwZdGvPcjRCJK9,DataSets\audio\Jorge Cafrune - La Olvidada.mp3,DataSets\img\Jorge Cafrune - La Olvidada.npy,128,13570
012WbwBgON9prZ6BPdVCsy,DataSets\audio\Electro Dub Tango - Gira.mp3,DataSets\img\Electro Dub Tango - Gira.npy,128,22420
1KCYGpZvA6p89gTIug8NpV,DataSets\audio\Suni Paz - El Aromo (The Aromo Tree) - milonga pampeana.mp3,DataSets\img\Suni Paz - El Aromo (The Aromo Tree) - milonga pampeana.npy,128,19471
5vlQNUpWKTFiV1NEUnvAFv,DataSets\audio\Atahualpa Yupanqui - Le Tengo Rabia al Silencio.mp3,DataSets\img\Atahualpa Yupanqui - Le Tengo Rabia al Silencio.npy,128,21587
6Q3ozAXkxLpKQy6sc8L0TY,DataSets\audio\Mercedes Sosa - Alfonsina Y El Mar.mp3,DataSets\img\Mercedes Sosa - Alfonsina Y El Mar.npy,128,15722
1lhsYuyjw2urbnxLZudL2j,DataSets\audio\Trio Nevado - Absurdo.mp3,DataSets\img\Trio Nevado - Absurdo.npy,128,19672
7Mf8UwvvoEpdFLjHAZ9zk0,DataSets\audio\Ada Falcón - Para Ti Madre.mp3,DataSets\img\Ada Falcón - Para Ti Madre.npy,128,10208
62yZ9a6W530wBwzkCd8grQ,DataSets\audio\Carlos Gardel - Tango Argentino - Remasterizado.mp3,DataSets\img\Carlos Gardel - Tango Argentino - Remasterizado.npy,128,8102
4KHD2L7zRV4eHKSsSqtL1s,"DataSets\audio\Orquesta Graciano Goméz - Mamá, yo quiero un novio.mp3","DataSets\img\Orquesta Graciano Goméz - Mamá, yo quiero un novio.npy",128,8797
0q3gjwNndhBm6ynUlr5lxy,DataSets\audio\Mabel González - Maldito Tango.mp3,DataSets\img\Mabel González - Maldito Tango.npy,128,19374
6BQT6TxyxYxxQ2BSb9TTLG,DataSets\audio\Los Calchakis - Kurikinga.mp3,DataSets\img\Los Calchakis - Kurikinga.npy,128,13270
4cUyHIHEtFAkHGpKcptZSD,DataSets\audio\Libertad Lamarque - Tabaco.mp3,DataSets\img\Libertad Lamarque - Tabaco.npy,128,17222
3GjH9HaiMz4T2eZMlKES28,DataSets\audio\Traditional - Jallalla! Italaque.mp3,DataSets\img\Traditional - Jallalla! Italaque.npy,128,36140
4afeZ9svVAqlHT6VYt4T83,DataSets\audio\Los Rupay - Hoy dia manana.mp3,DataSets\img\Los Rupay - Hoy dia manana.npy,128,34181
3VARQfOcy4URYskaWYgGTL,DataSets\audio\Andanzas - Volantin de Luz.mp3,DataSets\img\Andanzas - Volantin de Luz.npy,128,21085
7igk4Q4vVW72m2aPyTlNhd,DataSets\audio\Luzmila Carpio - Pachapaqariy.mp3,DataSets\img\Luzmila Carpio - Pachapaqariy.npy,128,26148
0Mn5HGU4t72yCBaisa8ynf,DataSets\audio\Mario P. Gutiérrez - Jallpa Jailliy.mp3,DataSets\img\Mario P. Gutiérrez - Jallpa Jailliy.npy,128,32880
5lbFfkfgUgP3JR54269VOd,DataSets\audio\Los Koyas - El Condor Pasa.mp3,DataSets\img\Los Koyas - El Condor Pasa.npy,128,24335
4Y9M5wdid77kuW1ircUAZA,DataSets\audio\Marc Anthony - Si Tu No Te Fueras.mp3,DataSets\img\Marc Anthony - Si Tu No Te Fueras.npy,128,15354
3mmKne4HkfYjExiU79Iu1A,DataSets\audio\Eddie Palmieri - Oyelo Que Te Conviene.mp3,DataSets\img\Eddie Palmieri - Oyelo Que Te Conviene.npy,128,39502
1fuXEMTh8qp7lbk8XWFRMl,DataSets\audio\Cuarteto Mayari - Anamu.mp3,DataSets\img\Cuarteto Mayari - Anamu.npy,128,17324
6GpAcQZTJbkJmNU2KJ2NKa,DataSets\audio\AJ Davila - Es Verano Ya.mp3,DataSets\img\AJ Davila - Es Verano Ya.npy,128,12052
6HJhgsBH1X66AAP1Zoh4Aa,DataSets\audio\Cheo Feliciano - Oh Vida.mp3,DataSets\img\Cheo Feliciano - Oh Vida.npy,128,12515
5If50NnehMpnjnCY9Biwk9,DataSets\audio\Tito Gomez - Alma Con Alma.mp3,DataSets\img\Tito Gomez - Alma Con Alma.npy,128,24257
1ombx8R3gSgsgtiKDdMQXm,,,,
7BVLM729wsbZ74O4v2F8e6,DataSets\audio\Trio Contradanza - Mi Fiesta.mp3,DataSets\img\Trio Contradanza - Mi Fiesta.npy,128,20654
026qZ5acPeMcd8SEo9C7JG,DataSets\audio\Chavela Vargas - Vereda Tropical.mp3,DataSets\img\Chavela Vargas - Vereda Tropical.npy,128,28713
4zgOjpfmEszhtx3sx8r6jk,DataSets\audio\Chavela Vargas - Las Ciudades.mp3,DataSets\img\Chavela Vargas - Las Ciudades.npy,128,21506
6tT0PFnoFN1WWrO4at4h7w,DataSets\audio\Trio Contradanza - El incendio.mp3,DataSets\img\Trio Contradanza - El incendio.npy,128,17768
3tgP8FD18wjaKKXHNQreEG,DataSets\audio\Revolver - Mi segundo amor (con Chavela Vargas).mp3,DataSets\img\Revolver - Mi segundo amor (con Chavela Vargas).npy,128,19531
57JPMlmvqLK5X7EZUj6rfd,DataSets\audio\Chavela Vargas - En el Último Trago.mp3,DataSets\img\Chavela Vargas - En el Último Trago.npy,128,15344
16XeWeNlIfVEXyNSg4picj,DataSets\audio\Luis Aguilar Lopez - Amor por las Carretas.mp3,DataSets\img\Luis Aguilar Lopez - Amor por las Carretas.npy,128,17219
5iG2Xk9gQH5Vv8oLFKUg9C,DataSets\audio\Chavela Vargas - Ojos Tristes.mp3,DataSets\img\Chavela Vargas - Ojos Tristes.npy,128,18494
2pZ5mZ1Fcte4SEQ4v7pKF9,,,,
2hVU6nWU88APN9iXcRZG3t,DataSets\audio\Chavela Vargas - Corrido de Cananea.mp3,DataSets\img\Chavela Vargas - Corrido de Cananea.npy,128,25811
4x4NkS9KMKEBQTubib8Gau,DataSets\audio\Chavela Vargas - Desdeñosa.mp3,DataSets\img\Chavela Vargas - Desdeñosa.npy,128,19591
5i1wCKZQms8RW4C8xCVUA9,DataSets\audio\Pixvae - El Curruco.mp3,DataSets\img\Pixvae - El Curruco.npy,128,29899
1TFE0TEc9ACT0xXPzFv53u,DataSets\audio\Aura Gonzales - El Paseo.mp3,DataSets\img\Aura Gonzales - El Paseo.npy,128,16989
4qxerm408czRjGGatkWBvQ,DataSets\audio\Pernett - Gracias.mp3,DataSets\img\Pernett - Gracias.npy,128,31840
0kIvaUbLCHmTdm3iP0q2uF,DataSets\audio\Lido Pimienta - Ruleta.mp3,DataSets\img\Lido Pimienta - Ruleta.npy,128,131649
0L9TXvZfJNQ59sMEBa75aF,DataSets\audio\Grupo Galé - Nadie Te Ama Como Yo.mp3,DataSets\img\Grupo Galé - Nadie Te Ama Como Yo.npy,128,33120
2K1cSORoG0qwsATaSPVhhd,DataSets\audio\Blanca Lucumi - Rororo Mi Niñito.mp3,DataSets\img\Blanca Lucumi - Rororo Mi Niñito.npy,128,16464
3sjHMJScVx9GiRflGC3N0x,DataSets\audio\Various Artists - Muerte de dumar aljure.mp3,DataSets\img\Various Artists - Muerte de dumar aljure.npy,128,24173
615ddYkivEPX9fMCBW44Qs,DataSets\audio\Isabel Aldunate - Yo Te Nombro Libertad.mp3,DataSets\img\Isabel Aldunate - Yo Te Nombro Libertad.npy,128,26519
6W8bHI5wFlbSFUGNTKVKfY,DataSets\audio\Violeta Para - Porque los pobres no tienen.mp3,DataSets\img\Violeta Para - Porque los pobres no tienen.npy,128,16592
6AvtZNE7PPS1QzlDtP3C9r,DataSets\audio\Pascuala Ilabaca y Fauna - Canción de Noche.mp3,DataSets\img\Pascuala Ilabaca y Fauna - Canción de Noche.npy,128,29654
3PZmQEAlpMMB8a5sOxZWOQ,DataSets\audio\Hector Pavez - Vals a mi padre.mp3,DataSets\img\Hector Pavez - Vals a mi padre.npy,128,17204
1xaQtv0P35icEB96SfJBa2,DataSets\audio\Los Huasos Quincheros - El Corralero - Remastered 2017.mp3,DataSets\img\Los Huasos Quincheros - El Corralero - Remastered 2017.npy,128,10323
7BzcSCuVd6HIBivdiwmKOv,DataSets\audio\Angel Parra - Canto a Mi América.mp3,DataSets\img\Angel Parra - Canto a Mi América.npy,128,14792
4LYWpHq4k6M5IYFDK4AjmK,DataSets\audio\Michael Hurd - Swingin' Samson_ Clip and clip.mp3,DataSets\img\Michael Hurd - Swingin' Samson_ Clip and clip.npy,128,7543
1QfuQ3WXQlh8xKKz9zGdOu,"DataSets\audio\Johannes Brahms - 5 Gesänge, Op. 104_ No. 3, Letztes Gluck.mp3","DataSets\img\Johannes Brahms - 5 Gesänge, Op. 104_ No. 3, Letztes Gluck.npy",128,15931
65mzay1qpkonZeZ5vg3CNm,DataSets\audio\Paul Hindemith - Lieder nach alten Texten op. 33 VI. Landknechtstrinklied.mp3,DataSets\img\Paul Hindemith - Lieder nach alten Texten op. 33 VI. Landknechtstrinklied.npy,128,6943
1slphQRhQIw9qGadK6RXAN,"DataSets\audio\Bob Chilcott - Ophelia, Caliban & Miranda_ I. River Bride (Ophelia).mp3","DataSets\img\Bob Chilcott - Ophelia, Caliban & Miranda_ I. River Bride (Ophelia).npy",128,109536
0AgnD6SqI1PZ2foVYhgLY2,"DataSets\audio\Johann Sebastian Bach - Goldberg Variations, BWV 988_ Variation 5, Nun komm.mp3","DataSets\img\Johann Sebastian Bach - Goldberg Variations, BWV 988_ Variation 5, Nun komm.npy",128,25923
